College Name|College ID|USN|Stundet Name|10th Percentage|12th Percentage|College CGPA|Course|Coding Test Time|Coding Test Score
Lauren Jones|LAUR|LAUR07911|Cody Hernandez|93.3|91.8 %|8.0|CSE-AI|07 Feb 2023 00:31:16+0800|10
Brandon Barker|BRAN|BRAN07912|Karen Henderson|79.9|85.0 %|7.9|MECH|15 Sep 2022 12:11:12-0300|8
Pamela Harris|PAME|PAME07913|Kenneth Jacobs|75.9|98.0 %|8.5|CSE|29 Nov 2022 08:59:41-0300|1
Pamela Harris|PAME|PAME07914|Tiffany Riggs|79.6|77.2|9.3|CSE-AI|29 Aug 2022 23:51:54-0400|0
William Webster|WILL|WILL07915|Ryan Gallagher|90.0|83.0|8.6|CSE-AI|16 May 2023 05:06:01+0530|11
Michael Green|MICH|MICH07916|Daniel Gonzales|85.3|95.3 %|9.6|CSE-AI|29 May 2023 16:42:40+0800|4
Mr. Joshua Summers DDS|MR. |MR. 07917|Stephanie Blackwell|82.9|80.9|8.8|CSE|10 Aug 2022 18:38:17+0800|0
Andrew Diaz|ANDR|ANDR07918|Joshua Baird|94.9|77.7 Perc|9.6|CSE-AI|03 Aug 2022 15:07:51+0800|11
Cheryl Adams|CHER|CHER07919|James Tucker|90.4|86.8 Perc|9.4|CSE|05 May 2023 09:19:59+0800|4
Mitchell Scott|MITC|MITC07920|Jo Green DVM|79.5|82.5|9.0|CSE-AI|12 Oct 2022 20:30:37+0800|8
Michael Green|MICH|MICH07921|Michael Alvarez|75.9|77.8 %|7.5|CSE-ML|22 Jun 2022 07:09:27-0400|3
Traci Maynard|TRAC|TRAC07922|Jo Fernandez|89.1|96.0 %|9.8|CSE-ML|26 Feb 2023 13:11:09+0000|6
William Webster|WILL|WILL07923|Christina Hughes|99.9|82.7|8.3|CSE-AI|15 Sep 2022 19:32:12+0530|6
Michelle Pineda|MICH|MICH07924|Julie Carpenter|99.8|83.2 %|9.4|MECH|05 Jan 2023 21:39:09+0800|0
Lauren Jones|LAUR|LAUR07925|Jeremy Johnson|93.5|82.1|7.7|CSE|16 Apr 2023 10:32:16+0000|1
Andrew Murphy|ANDR|ANDR07926|Tina Graham|80.0|75.6 %|8.2|MECH|17 Sep 2022 04:49:36-0300|13
Erik Herrera|ERIK|ERIK07927|Michael Mendoza|88.6|93.1|8.7|CSE-AI|07 Apr 2023 09:36:37+0530|0
Alexis Dean|ALEX|ALEX07928|Kelly Molina|99.9|76.8 Perc|9.0|CSE-AI|02 Nov 2022 20:24:46+0000|6
Raymond Russell|RAYM|RAYM07929|Karen Sutton|77.6|77.7|8.7|CSE|09 Jan 2023 20:24:04-0300|11
Traci Maynard|TRAC|TRAC07930|Ashley Alvarado|86.3|86.9 %|9.1|CSE-AI|30 Mar 2023 13:55:12+0800|14
Andrew Murphy|ANDR|ANDR07931|Charles Bass|91.9|92.3 %|9.3|MECH|07 Jan 2023 01:55:58+0800|7
Laura Sawyer|LAUR|LAUR07932|Christopher Mills|79.8|78.9|8.7|CSE|10 May 2023 23:01:00+0800|8
Cheryl Adams|CHER|CHER07933|Linda Fernandez|94.4|76.3 %|9.2|CSE-AI|20 Jun 2022 14:51:01+0000|5
Alexis Dean|ALEX|ALEX07934|Cynthia Crawford|81.5|95.5 %|8.1|CSE-AI|04 Oct 2022 00:16:58+0000|0
Christopher Mcneil|CHRI|CHRI07935|Anita Walker|99.4|88.0|9.5|CSE|15 Aug 2022 05:30:59+0530|10
Andrew Diaz|ANDR|ANDR07936|Jennifer Savage|94.5|82.4 %|9.5|CSE-AI|20 Aug 2022 19:57:42-0400|13
Andrew Diaz|ANDR|ANDR07937|Kelsey Mason|85.4|93.2 Perc|8.7|CSE-AI|19 Jan 2023 07:04:49+0530|12
Cheryl Adams|CHER|CHER07938|Timothy Morgan|98.4|76.0|9.9|CSE|05 Aug 2022 13:00:50+0530|14
Erik Herrera|ERIK|ERIK07939|Raymond Farrell|90.8|89.2|9.2|CSE|13 Apr 2023 01:33:42-0400|8
Traci Maynard|TRAC|TRAC07940|Toni Sanchez|92.2|77.4 %|9.2|CSE-ML|06 Oct 2022 19:27:53+0000|13
Alexis Dean|ALEX|ALEX07941|Jessica Jackson|85.5|99.8 %|8.7|CSE-AI|30 Dec 2022 21:29:48+0800|3
Ryan Gonzalez|RYAN|RYAN07942|Cynthia Lee|81.9|86.6|8.1|CSE-ML|07 Nov 2022 21:30:30+0530|10
Mitchell Scott|MITC|MITC07943|James Smith|97.5|81.5 %|9.9|MECH|18 Oct 2022 16:46:24+0800|4
Raymond Russell|RAYM|RAYM07944|Andrew Sparks|78.0|92.9|7.8|CSE-ML|10 Dec 2022 02:06:14-0300|10
Pamela Harris|PAME|PAME07945|Joseph Dunn|85.7|82.3|8.7|CSE-AI|23 Apr 2023 15:10:04+0530|10
Timothy Rodriguez|TIMO|TIMO07946|Jessica Holden|84.5|82.3 %|7.7|MECH|19 Oct 2022 13:19:32+0530|4
Traci Maynard|TRAC|TRAC07947|Linda Heath|91.9|77.2|7.7|MECH|23 Oct 2022 11:58:46-0300|5
Cheryl Adams|CHER|CHER07948|Nathan Torres|86.0|89.7 %|8.8|MECH|05 Mar 2023 15:03:39-0300|12
Mitchell Scott|MITC|MITC07949|Elizabeth Obrien|76.4|79.1|7.5|CSE|26 Oct 2022 06:01:23+0530|14
Raymond Russell|RAYM|RAYM07950|Pamela Robinson|81.1|82.6 %|9.3|CSE-AI|30 Nov 2022 07:20:25-0300|1
Alexis Dean|ALEX|ALEX07951|Dennis Murillo|97.3|76.9 %|8.4|CSE-ML|07 Jan 2023 01:55:58+0800|11
Andrew Murphy|ANDR|ANDR07952|David Trevino|80.2|82.5 Perc|9.0|MECH|08 Jul 2022 17:34:59+0530|9
Michael Green|MICH|MICH07953|James Gardner|80.8|76.4 %|8.4|CSE-ML|06 Sep 2022 13:30:38-0400|5
Mr. Joshua Summers DDS|MR. |MR. 07954|Diane Gamble|87.5|98.6|8.6|MECH|07 Jan 2023 20:39:21+0000|8
Mr. Joshua Summers DDS|MR. |MR. 07955|Wendy Lewis|98.6|91.6|9.4|CSE|01 Mar 2023 01:43:13+0800|2
Joseph Horton|JOSE|JOSE07956|Kenneth Daugherty|99.7|78.2 Perc|9.6|CSE|05 Feb 2023 16:47:45+0530|0
Cheryl Adams|CHER|CHER07957|Brittany Rice|82.9|89.2 Perc|8.5|MECH|18 Aug 2022 11:37:51+0000|7
Michael Green|MICH|MICH07958|Andrew James|98.6|86.4 Perc|9.9|MECH|13 Jun 2022 11:19:22+0800|3
Raymond Russell|RAYM|RAYM07959|Jeremy Walker|97.6|98.8 Perc|9.0|CSE|18 Oct 2022 16:46:24+0800|5
Lauren Jones|LAUR|LAUR07960|Julie Griffin|82.2|76.5 %|7.6|MECH|07 Oct 2022 22:02:53+0530|14
Andrew Diaz|ANDR|ANDR07961|Chloe Garcia|89.5|98.7 %|8.3|CSE-AI|26 May 2023 07:11:36-0400|12
Brandon Barker|BRAN|BRAN07962|Rebecca Cruz|78.8|80.9 Perc|9.6|CSE-AI|30 May 2023 17:22:18+0530|7
Alexis Dean|ALEX|ALEX07963|Ashley Duran|86.0|87.5 Perc|7.5|CSE-AI|07 Apr 2023 09:36:37+0530|6
Joseph Horton|JOSE|JOSE07964|Reginald Guerrero|81.5|95.5|7.8|CSE|11 Dec 2022 05:29:06+0530|0
Ryan Gonzalez|RYAN|RYAN07965|Joseph Peterson|97.7|93.5|8.5|MECH|05 May 2023 04:48:39-0400|7
Lauren Jones|LAUR|LAUR07966|James Griffith|88.9|99.2 %|8.3|CSE-AI|31 Aug 2022 23:40:44+0800|3
Joseph Horton|JOSE|JOSE07967|Jennifer Rogers|96.4|91.8|7.7|MECH|10 Dec 2022 20:36:22+0800|6
Lauren Jones|LAUR|LAUR07968|Amy Sullivan|87.3|88.4 Perc|9.0|CSE-ML|04 Jun 2023 01:06:49-0400|4
Erik Herrera|ERIK|ERIK07969|Darrell Pham|76.1|98.3 %|8.6|CSE-AI|04 Oct 2022 20:37:53+0000|3
Laura Sawyer|LAUR|LAUR07970|Randall Harper|84.1|80.4 %|9.5|CSE|24 Aug 2022 23:02:34+0000|14
Raymond Russell|RAYM|RAYM07971|Angela Benjamin|91.0|94.8 %|9.3|CSE|25 Apr 2023 21:54:33+0800|11
Mr. Joshua Summers DDS|MR. |MR. 07972|Laura Jones|78.6|87.5|7.7|CSE-AI|22 Mar 2023 04:40:20-0300|3
Joseph Horton|JOSE|JOSE07973|Matthew Espinoza|86.7|84.0 %|9.4|CSE-ML|28 Nov 2022 03:52:57-0300|5
Lauren Jones|LAUR|LAUR07974|Aaron Bryan|89.7|75.3|9.4|MECH|16 Sep 2022 07:38:03-0300|1
Pamela Harris|PAME|PAME07975|James Stevens|90.4|76.8 %|8.7|MECH|28 Feb 2023 21:11:03-0300|10
Lauren Jones|LAUR|LAUR07976|Mary Young|76.2|96.6 Perc|9.3|MECH|06 Nov 2022 18:37:47+0530|10
Mitchell Scott|MITC|MITC07977|Grace Rodriguez|93.7|86.0 Perc|9.7|CSE-AI|01 Nov 2022 20:54:09+0530|0
Joseph Horton|JOSE|JOSE07978|Douglas Espinoza|95.0|89.6 %|7.7|CSE-ML|03 Jul 2022 13:39:43+0000|2
Michael Green|MICH|MICH07979|Jose Vargas|83.3|92.5 Perc|9.9|MECH|13 Dec 2022 15:20:06-0300|4
Andrew Murphy|ANDR|ANDR07980|Sandra Mccarthy|88.4|77.1 Perc|7.9|MECH|25 Apr 2023 23:34:29-0400|10
Lauren Jones|LAUR|LAUR07981|Shannon Hall|94.1|89.4 Perc|9.5|MECH|20 Jan 2023 21:08:38-0300|2
Andrew Murphy|ANDR|ANDR07982|Matthew Benson|97.3|98.6 Perc|8.0|MECH|03 Sep 2022 15:08:29+0000|1
Christopher Mcneil|CHRI|CHRI07983|Kristen Guzman|78.8|83.0|8.0|CSE|21 Jul 2022 22:09:21+0530|7
Lauren Jones|LAUR|LAUR07984|Richard Clark|85.7|88.1|9.4|CSE-ML|19 May 2023 10:29:49+0000|4
Alexis Dean|ALEX|ALEX07985|Jerome Rosales|82.7|97.9 Perc|8.5|CSE-AI|25 Feb 2023 10:55:11-0300|0
Lauren Jones|LAUR|LAUR07986|Richard Alvarez|90.1|92.9 Perc|9.4|CSE-ML|30 Sep 2022 03:21:36+0530|11
Erik Herrera|ERIK|ERIK07987|Leslie Richardson|78.7|81.3 %|8.6|CSE-AI|03 Nov 2022 12:12:29+0530|14
Pamela Harris|PAME|PAME07988|Sharon Villa|85.9|91.1 %|7.7|MECH|06 Dec 2022 22:44:05+0800|11
Pamela Harris|PAME|PAME07989|Rachel Murray|77.3|93.7 %|8.3|MECH|31 Oct 2022 14:03:40+0530|6
Pamela Harris|PAME|PAME07990|John Davis|90.0|82.0 Perc|8.3|CSE-AI|03 Oct 2022 13:49:09+0530|0
Pamela Harris|PAME|PAME07991|Maureen Tucker|96.6|90.8|7.8|CSE-ML|16 Jun 2022 10:07:24+0530|1
Lauren Jones|LAUR|LAUR07992|Tricia Lawson|89.6|89.4 Perc|8.4|MECH|13 Sep 2022 21:00:35+0800|7
Ryan Gonzalez|RYAN|RYAN07993|Claire Lee|88.1|93.3|9.4|MECH|17 Nov 2022 18:00:40-0300|4
Brandon Barker|BRAN|BRAN07994|John Maxwell|96.0|90.2|8.0|MECH|28 Dec 2022 06:30:05-0300|0
Traci Maynard|TRAC|TRAC07995|Scott Scott|85.0|79.7|9.7|MECH|06 Sep 2022 13:30:38-0400|12
Lauren Jones|LAUR|LAUR07996|Eddie James|96.4|98.5|8.0|CSE|21 Aug 2022 23:51:59-0400|14
Timothy Rodriguez|TIMO|TIMO07997|Christopher Lewis|93.4|90.9|8.5|CSE-AI|24 Dec 2022 17:03:55-0300|13
Traci Maynard|TRAC|TRAC07998|Dillon Adams|85.1|85.5|9.0|MECH|17 Aug 2022 20:44:12-0400|2
Michelle Pineda|MICH|MICH07999|Lonnie Ferguson|94.7|95.0 Perc|9.3|CSE-ML|17 Jul 2022 07:55:36+0000|3
Michelle Pineda|MICH|MICH08000|Karen Rice|95.9|75.5 %|9.9|CSE|25 Feb 2023 10:55:11-0300|10
Ryan Gonzalez|RYAN|RYAN08001|Carmen Jones|80.7|76.0|9.6|CSE|04 Oct 2022 08:47:25+0000|2
Ryan Gonzalez|RYAN|RYAN08002|Christopher Rodriguez|91.8|87.9 %|7.8|CSE-ML|02 Oct 2022 05:55:46+0000|8
Raymond Russell|RAYM|RAYM08003|Dr. Austin Jordan|82.3|84.9 %|8.0|CSE-AI|10 Apr 2023 11:20:44+0000|9
Mr. Joshua Summers DDS|MR. |MR. 08004|Miguel Morris|97.5|78.7 Perc|8.7|CSE-AI|03 Apr 2023 08:15:16+0800|3
Timothy Rodriguez|TIMO|TIMO08005|Paul Mcdaniel|92.3|91.4 %|8.9|CSE-ML|20 Apr 2023 02:50:45+0800|2
Andrew Diaz|ANDR|ANDR08006|David Maddox|90.9|79.0 Perc|8.9|CSE-ML|17 Jul 2022 16:42:22+0800|8
Mitchell Scott|MITC|MITC08007|Rebecca Rodriguez|98.8|75.1 %|8.9|MECH|26 Jul 2022 14:02:17+0000|7
Laura Sawyer|LAUR|LAUR08008|Autumn Ayers|98.3|91.5 Perc|9.8|MECH|10 Dec 2022 20:36:22+0800|4
Michelle Pineda|MICH|MICH08009|Andrea Anderson|85.5|80.3|8.1|MECH|25 Apr 2023 21:54:33+0800|10
Alexis Dean|ALEX|ALEX08010|Shannon Palmer|82.2|83.9 %|8.5|CSE-ML|02 Oct 2022 05:55:46+0000|10
Mr. Joshua Summers DDS|MR. |MR. 08011|Andre Fowler|89.3|80.5 %|8.1|CSE|17 Aug 2022 20:44:12-0400|2
Pamela Harris|PAME|PAME08012|Mark Brewer|76.3|93.4 Perc|8.6|CSE|12 Jun 2022 07:29:56+0000|14
Andrew Murphy|ANDR|ANDR08013|Karen Neal|75.2|93.6 %|7.9|CSE-ML|04 Jan 2023 08:01:13+0000|0
Andrew Diaz|ANDR|ANDR08014|Colton Stephens|77.1|95.5 Perc|9.4|MECH|15 Apr 2023 00:05:38+0530|0
Erik Herrera|ERIK|ERIK08015|Shawn Smith|82.6|78.4 %|8.6|CSE-ML|15 Sep 2022 19:56:02+0000|13
Andrew Murphy|ANDR|ANDR08016|Kimberly Smith MD|88.4|75.1 Perc|8.2|CSE-ML|06 Feb 2023 15:32:45+0530|5
Pamela Harris|PAME|PAME08017|Carlos Davis|76.8|89.9 %|8.0|CSE-AI|21 Mar 2023 21:34:57+0000|10
Lauren Jones|LAUR|LAUR08018|Shari Wilson|92.9|92.7|9.8|MECH|23 Dec 2022 20:43:55+0000|10
Michelle Pineda|MICH|MICH08019|Vicki Wilson|94.4|79.3 %|9.1|CSE|27 Oct 2022 23:09:55+0000|1
Lauren Jones|LAUR|LAUR08020|Amanda Sanders|97.6|96.4 %|9.3|MECH|05 Feb 2023 16:47:45+0530|5
Timothy Rodriguez|TIMO|TIMO08021|Lisa David PhD|98.4|88.5 Perc|8.2|MECH|17 Jul 2022 16:42:22+0800|3
Christopher Mcneil|CHRI|CHRI08022|Carl Johnson|89.0|76.9|9.2|MECH|04 May 2023 19:50:54-0400|7
Andrew Diaz|ANDR|ANDR08023|Maria Silva|91.2|88.3|9.8|MECH|26 Nov 2022 23:51:05+0800|7
Cheryl Adams|CHER|CHER08024|Kirsten Brown|84.7|91.1|8.0|CSE-AI|17 Jul 2022 09:27:19-0400|5
Andrew Diaz|ANDR|ANDR08025|James Mendez|89.6|92.3|8.8|CSE|04 Jun 2023 01:06:49-0400|12
Andrew Diaz|ANDR|ANDR08026|Stephanie Sanchez|93.3|91.6|9.7|CSE-ML|26 Dec 2022 19:27:04+0530|8
Timothy Rodriguez|TIMO|TIMO08027|Pamela Brown|83.1|93.2 Perc|9.2|MECH|28 Aug 2022 06:46:37-0400|13
Laura Sawyer|LAUR|LAUR08028|Michael Torres|96.3|85.6 %|9.5|MECH|14 Mar 2023 06:49:22+0800|10
Christopher Mcneil|CHRI|CHRI08029|Victoria Hardy|78.7|85.3 %|9.3|CSE-ML|20 Jun 2022 14:51:01+0000|9
Andrew Murphy|ANDR|ANDR08030|Roger Martinez|92.7|99.1|7.8|MECH|01 Nov 2022 13:41:51-0300|1
Mr. Joshua Summers DDS|MR. |MR. 08031|Robin Parker|82.2|78.2|9.0|CSE-AI|31 Oct 2022 14:41:37-0300|6
Michelle Pineda|MICH|MICH08032|Lee Webb|82.5|80.7|8.8|CSE-AI|07 Oct 2022 19:05:24-0300|0
Raymond Russell|RAYM|RAYM08033|Deborah Dominguez|75.5|86.8|7.6|MECH|03 Mar 2023 21:59:45+0530|9
Andrew Diaz|ANDR|ANDR08034|Richard Elliott|82.1|87.5|8.3|CSE-AI|19 Apr 2023 01:42:32+0000|6
Michelle Pineda|MICH|MICH08035|Brenda Williams MD|83.5|91.9 Perc|8.2|MECH|02 Jun 2023 09:04:19+0530|10
Cheryl Adams|CHER|CHER08036|Sue Weaver|76.5|83.5 Perc|7.9|MECH|25 Dec 2022 10:51:24-0300|5
Laura Sawyer|LAUR|LAUR08037|Margaret Wallace|81.9|94.1 %|9.7|MECH|13 Jun 2022 01:59:13-0400|9
William Webster|WILL|WILL08038|Jean Sanders|98.1|84.2 %|7.9|CSE|14 Feb 2023 14:26:31+0530|14
Michelle Pineda|MICH|MICH08039|Gabriel Jacobs|78.8|86.6 %|8.7|CSE-AI|05 Aug 2022 13:00:50+0530|13
Erik Herrera|ERIK|ERIK08040|Gary Stewart|76.6|92.6 Perc|7.9|MECH|14 Mar 2023 08:56:43+0530|12
Cheryl Adams|CHER|CHER08041|George Gamble|92.8|90.0|8.1|CSE-AI|10 Aug 2022 18:38:17+0800|6
Raymond Russell|RAYM|RAYM08042|Heather Johnson|88.4|81.3|9.7|CSE|31 Mar 2023 06:25:23+0800|2
Erik Herrera|ERIK|ERIK08043|Laura Herrera|81.9|76.5 Perc|9.6|CSE-AI|16 Jun 2022 10:07:24+0530|9
Alexis Dean|ALEX|ALEX08044|Grant Johnston|86.6|88.8|7.9|MECH|28 Apr 2023 23:27:52-0400|10
Michelle Pineda|MICH|MICH08045|Karen Harrison|76.8|91.3|9.4|MECH|11 Aug 2022 20:59:48-0400|2
Ryan Gonzalez|RYAN|RYAN08046|Danielle Cortez|77.1|86.2|8.0|CSE-ML|18 Nov 2022 00:10:32+0800|9
Andrew Murphy|ANDR|ANDR08047|Anthony Schwartz|84.8|85.5 %|9.4|MECH|07 Nov 2022 21:30:30+0530|6
Joseph Horton|JOSE|JOSE08048|Joseph Camacho|99.6|84.2 %|9.1|CSE|22 Apr 2023 15:02:30-0400|10
Michelle Pineda|MICH|MICH08049|Juan Smith|98.8|98.9|9.3|CSE-ML|13 Sep 2022 15:18:52+0530|1
Pamela Harris|PAME|PAME08050|Samantha Mckenzie|76.8|78.4 %|9.2|MECH|29 Nov 2022 14:00:33+0530|9
Laura Sawyer|LAUR|LAUR08051|Ralph Michael|92.0|86.7|8.5|MECH|03 Jan 2023 10:09:20+0000|11
Mr. Joshua Summers DDS|MR. |MR. 08052|Ruth Love|94.7|83.7|8.1|CSE-ML|22 Oct 2022 15:49:52+0000|3
Pamela Harris|PAME|PAME08053|Veronica Marquez|96.2|96.4 Perc|9.8|CSE-ML|08 Oct 2022 09:46:37+0800|7
Andrew Diaz|ANDR|ANDR08054|Douglas Davis|96.7|96.1 Perc|9.0|CSE-ML|05 Feb 2023 21:59:42+0000|9
Cheryl Adams|CHER|CHER08055|John Cook|83.3|78.8 %|9.2|MECH|20 Aug 2022 11:51:55-0400|2
Mr. Joshua Summers DDS|MR. |MR. 08056|Natalie Carpenter|76.4|92.0 %|9.9|CSE-ML|02 Jun 2023 09:04:19+0530|8
Alexis Dean|ALEX|ALEX08057|Megan Thompson|93.7|82.9 %|9.7|MECH|01 Nov 2022 13:41:51-0300|1
Christopher Mcneil|CHRI|CHRI08058|Steven Ramirez|83.3|83.1 Perc|8.3|CSE-ML|17 Jun 2022 22:54:05-0400|5
Joseph Horton|JOSE|JOSE08059|Brandon Johnson|79.0|97.9 %|9.1|MECH|11 Mar 2023 08:58:50-0300|13
Cheryl Adams|CHER|CHER08060|David Daugherty|88.3|89.3|9.1|MECH|26 Dec 2022 20:53:47-0300|0
Mr. Joshua Summers DDS|MR. |MR. 08061|Christopher Simmons|85.8|90.0 Perc|9.3|CSE|04 Jun 2023 01:06:49-0400|10
Andrew Murphy|ANDR|ANDR08062|Martha Jenkins|95.0|88.3 %|9.6|CSE-ML|09 Apr 2023 22:29:24-0400|7
Ryan Gonzalez|RYAN|RYAN08063|Patrick Holmes|90.4|96.8 %|9.4|MECH|08 Nov 2022 15:02:26+0530|7
Joseph Horton|JOSE|JOSE08064|Chad Nguyen|94.6|89.0 %|8.7|MECH|28 Jan 2023 12:12:57-0300|1
Traci Maynard|TRAC|TRAC08065|Gregory Carpenter|90.2|78.4 %|9.4|CSE|12 Oct 2022 20:30:37+0800|3
Christopher Mcneil|CHRI|CHRI08066|Kenneth Floyd|83.0|81.0 %|9.7|MECH|23 Oct 2022 11:58:46-0300|3
Michelle Pineda|MICH|MICH08067|John Shelton|92.8|90.2 %|9.5|CSE|26 Nov 2022 23:51:05+0800|13
Alexis Dean|ALEX|ALEX08068|Dylan Clark|87.1|79.1 Perc|8.9|CSE-AI|27 May 2023 20:45:22+0800|13
Andrew Diaz|ANDR|ANDR08069|Ethan Boyer|76.0|77.3 Perc|9.6|CSE-ML|03 Dec 2022 01:47:44+0000|3
Michelle Pineda|MICH|MICH08070|Brian Burton|83.7|87.5|8.5|MECH|17 Aug 2022 07:01:55+0800|5
Andrew Diaz|ANDR|ANDR08071|Austin Green|93.5|79.8|7.7|MECH|30 May 2023 17:22:18+0530|5
Michael Green|MICH|MICH08072|Earl Harrison|96.2|92.4 %|9.2|MECH|27 Apr 2023 02:31:16+0530|7
Brandon Barker|BRAN|BRAN08073|Leslie Pierce|89.2|89.2|9.3|CSE-AI|13 Sep 2022 15:18:52+0530|4
Andrew Murphy|ANDR|ANDR08074|Alexander Hill|97.1|95.2 Perc|9.7|CSE|13 Dec 2022 16:03:27+0800|0
Traci Maynard|TRAC|TRAC08075|Seth Baker|80.2|96.6 %|9.0|MECH|26 Nov 2022 23:51:05+0800|5
Brandon Barker|BRAN|BRAN08076|Melinda Clements|86.1|92.9|8.1|CSE|16 Oct 2022 15:43:47+0000|9
Lauren Jones|LAUR|LAUR08077|Bonnie Cox|96.2|75.2 Perc|9.9|MECH|20 Mar 2023 10:08:41+0800|6
Joseph Horton|JOSE|JOSE08078|Emily Knight|92.4|86.7|9.7|MECH|17 Jan 2023 00:58:03+0800|13
Michael Green|MICH|MICH08079|Travis Skinner|87.4|83.5 %|8.9|CSE-ML|05 Jan 2023 21:39:09+0800|2
Raymond Russell|RAYM|RAYM08080|Richard Crawford|96.8|85.5 %|8.5|CSE|31 Oct 2022 14:41:37-0300|12
Michael Green|MICH|MICH08081|Larry Campos|96.6|92.0 Perc|7.8|CSE-ML|03 Mar 2023 21:59:45+0530|11
Traci Maynard|TRAC|TRAC08082|Daniel Holt|83.3|78.9 %|9.1|MECH|01 Nov 2022 06:50:01+0530|7
Alexis Dean|ALEX|ALEX08083|Michele Snyder|88.6|92.6 Perc|9.8|CSE-AI|18 Aug 2022 13:58:31+0000|9
Raymond Russell|RAYM|RAYM08084|Nicole Beltran PhD|90.4|99.3 %|8.9|CSE|13 Dec 2022 16:03:27+0800|7
Andrew Diaz|ANDR|ANDR08085|Linda Knight|84.3|81.6|7.9|CSE-ML|25 Nov 2022 04:54:14+0530|13
William Webster|WILL|WILL08086|Amanda Olsen|97.2|77.9 %|8.1|MECH|28 Sep 2022 02:29:40-0300|5
Andrew Murphy|ANDR|ANDR08087|Cheryl Jackson|76.3|81.8 Perc|8.6|CSE-ML|15 Apr 2023 00:05:38+0530|2
Traci Maynard|TRAC|TRAC08088|Emily Dean|94.6|99.4 Perc|8.5|CSE|10 May 2023 23:01:00+0800|2
Erik Herrera|ERIK|ERIK08089|Billy Vaughn|75.5|83.8 Perc|7.9|MECH|29 Jul 2022 14:58:56+0800|1
Lauren Jones|LAUR|LAUR08090|Dr. Devin May DVM|80.4|83.1 Perc|9.9|CSE|08 Jun 2022 12:16:16-0400|1
William Webster|WILL|WILL08091|Patricia Brown|95.5|98.9 %|8.1|CSE|19 Aug 2022 11:47:52+0000|10
Andrew Murphy|ANDR|ANDR08092|Diana White MD|93.7|97.3 Perc|9.7|CSE|22 Apr 2023 15:02:30-0400|8
Mr. Joshua Summers DDS|MR. |MR. 08093|Jose Marshall|92.5|95.9 Perc|8.9|CSE|21 Aug 2022 23:51:59-0400|10
Pamela Harris|PAME|PAME08094|Jordan Taylor|80.3|94.3 %|9.4|CSE|14 Jun 2022 05:31:06+0530|3
Joseph Horton|JOSE|JOSE08095|Lauren Johnson|77.7|94.0 %|9.6|CSE-AI|01 Feb 2023 01:37:28+0800|11
Alexis Dean|ALEX|ALEX08096|Larry Clark|87.0|76.3 Perc|8.1|MECH|27 Feb 2023 03:55:58+0530|3
Michael Green|MICH|MICH08097|Natasha Clarke|86.4|81.8 %|9.0|MECH|21 Aug 2022 23:51:59-0400|8
Erik Herrera|ERIK|ERIK08098|Charles Palmer|97.9|83.4 %|8.2|MECH|04 Dec 2022 04:53:07-0300|7
Laura Sawyer|LAUR|LAUR08099|Tammy Evans|91.3|88.7 Perc|8.4|CSE|10 Aug 2022 08:29:00+0530|4
Christopher Mcneil|CHRI|CHRI08100|Ricky Mason|79.0|80.0|9.1|CSE-AI|09 Jan 2023 13:45:37+0800|13
Ryan Gonzalez|RYAN|RYAN08101|Don Kelley|89.6|87.0|8.9|CSE-ML|20 Oct 2022 09:40:08+0000|9
Joseph Horton|JOSE|JOSE08102|Andrew Benson|93.8|75.5 Perc|8.3|MECH|16 May 2023 14:43:33+0800|11
Traci Maynard|TRAC|TRAC08103|Jennifer Thornton|85.7|77.1 Perc|9.9|CSE|31 Oct 2022 14:41:37-0300|14
Erik Herrera|ERIK|ERIK08104|David Wilcox|85.8|81.5 %|9.8|MECH|28 Mar 2023 09:12:21+0530|0
Alexis Dean|ALEX|ALEX08105|Don Scott|80.5|99.4|9.7|CSE-AI|24 Oct 2022 20:47:08+0530|2
Andrew Diaz|ANDR|ANDR08106|Teresa Mckenzie|79.7|85.0 Perc|9.4|MECH|17 Sep 2022 13:13:09-0300|6
Alexis Dean|ALEX|ALEX08107|Daniel Miller|83.6|99.2 Perc|9.1|MECH|07 Feb 2023 15:52:39+0000|0
Ryan Gonzalez|RYAN|RYAN08108|Miss Crystal Hayes PhD|88.6|79.4 %|9.5|CSE-ML|25 Sep 2022 02:30:36-0300|7
Joseph Horton|JOSE|JOSE08109|Cynthia Rowe|78.9|82.2|9.6|CSE-ML|21 Aug 2022 23:51:59-0400|11
Christopher Mcneil|CHRI|CHRI08110|Catherine Pierce|80.5|92.6 %|9.5|CSE|19 Oct 2022 09:33:19-0300|7
Joseph Horton|JOSE|JOSE08111|Emily Henry|97.7|78.0 %|9.5|CSE-ML|22 Oct 2022 15:49:52+0000|9
Raymond Russell|RAYM|RAYM08112|Joshua Bruce|87.5|84.8|9.6|CSE|15 Nov 2022 03:30:58+0000|10
Christopher Mcneil|CHRI|CHRI08113|Nancy Gonzales|98.6|93.6|9.0|CSE-AI|06 Mar 2023 05:31:35+0800|9
Ryan Gonzalez|RYAN|RYAN08114|Shawn Garza|82.0|96.8|7.9|CSE|13 Mar 2023 19:21:35+0530|2
Laura Sawyer|LAUR|LAUR08115|Emily Perkins|75.6|79.7 Perc|9.4|CSE-AI|19 Oct 2022 09:33:19-0300|8
